iter	Passed	Remaining
786	2633	712
787	2641	710
788	2644	707
789	2646	703
790	2649	700
791	2657	697
792	2661	694
793	2662	690
794	2664	687
795	2666	683
796	2668	679
797	2673	676
798	2676	673
799	2678	669
800	2680	665
801	2683	662
802	2690	659
803	2692	656
804	2693	652
805	2695	648
806	2697	645
807	2699	641
808	2705	638
809	2707	635
810	2709	631
811	2711	627
812	2713	624
813	2715	620
814	2720	617
815	2722	613
816	2723	610
817	2725	606
818	2727	602
819	2729	599
820	2734	596
821	2736	592
822	2738	589
823	2740	585
824	2742	581
825	2744	578
826	2746	574
827	2749	571
828	2751	567
829	2753	563
830	2754	560
831	2756	556
832	2759	553
833	2763	550
834	2765	546
835	2767	542
836	2769	539
837	2770	535
838	2772	532
839	2774	528
840	2779	525
841	2781	521
842	2783	518
843	2784	514
844	2786	511
845	2788	507
846	2790	504
847	2795	501
848	2797	497
849	2799	493
850	2801	490
851	2803	486
852	2804	483
853	2808	480
854	2810	476
855	2812	473
856	2814	469
857	2816	466
858	2818	462
859	2820	459
860	2859	461
861	2861	458
862	2864	454
863	2867	451
864	2870	447
865	2874	444
866	2878	441
867	2880	438
868	2883	434
869	2910	434
870	2912	431
871	2915	427
872	2917	424
873	2924	421
874	2927	418
875	2930	414
876	2941	412
877	2944	409
878	2946	405
879	2949	402
880	2954	399
881	2992	400
882	2995	396
883	3004	394
884	3008	390
885	3010	387
886	3012	383
887	3015	380
888	3018	376
889	3021	373
890	3024	370
891	3039	368
892	3045	364
893	3049	361
894	3051	358
895	3054	354
896	3061	351
897	3064	348
898	3066	344
899	3068	340
900	3070	337
901	3073	333
902	3076	330
903	3078	326
904	3080	323
905	3082	319
906	3084	316
907	3086	312
908	3090	309
909	3092	305
910	3094	302
911	3096	298
912	3098	295
913	3099	291
914	3101	288
915	3108	285
916	3109	281
917	3112	278
918	3114	274
919	3115	270
920	3117	267
921	3123	264
922	3125	260
923	3127	257
924	3129	253
925	3130	250
926	3132	246
927	3137	243
928	3139	239
929	3141	236
930	3144	233
931	3146	229
932	3148	226
933	3152	222
934	3154	219
935	3156	215
936	3158	212
937	3160	208
938	3161	205
939	3163	201
940	3168	198
941	3170	195
942	3172	191
943	3173	188
944	3175	184
945	3177	181
946	3179	177
947	3183	174
948	3185	171
949	3187	167
950	3189	164
951	3191	160
952	3193	157
953	3195	154
954	3200	150
955	3202	147
956	3204	143
957	3206	140
958	3207	137
959	3209	133
960	3214	130
961	3216	127
962	3217	123
963	3219	120
964	3221	116
965	3223	113
966	3225	110
967	3230	106
968	3233	103
969	3235	100
970	3237	96
971	3240	93
972	3257	90
973	3262	87
974	3264	83
975	3268	80
976	3286	77
977	3289	73
978	3291	70
979	3294	67
980	3297	63
981	3300	60
982	3314	57
983	3321	54
984	3324	50
985	3326	47
986	3329	43
987	3332	40
988	3336	37
989	3339	33
990	3341	30
991	3344	26
992	3357	23
993	3360	20
994	3371	16
995	3374	13
996	3376	10
997	3379	6
998	3386	3
999	3388	0
